fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-09-20,HOMBRE,2922,2370,408973
2020-09-20,MUJER,2961,2438,377773
2020-09-21,HOMBRE,2454,2378,411427
2020-09-21,MUJER,2550,2460,380323
2020-09-22,HOMBRE,2069,2321,413496
2020-09-22,MUJER,2126,2393,382449
2020-09-23,HOMBRE,2025,2348,415521
2020-09-23,MUJER,2046,2425,384495
2020-09-24,HOMBRE,1973,2317,417494
2020-09-24,MUJER,2070,2396,386565
2020-09-25,HOMBRE,2506,2322,420000
2020-09-25,MUJER,2732,2419,389297
2020-09-26,HOMBRE,2027,2282,422027
2020-09-26,MUJER,2042,2361,391339
2020-09-27,HOMBRE,2029,2154,424056
2020-09-27,MUJER,2071,2233,393410
2020-09-28,HOMBRE,2588,2173,426644
2020-09-28,MUJER,2610,2242,396020
2020-09-29,HOMBRE,2113,2180,428757
2020-09-29,MUJER,2311,2268,398331
2020-09-30,HOMBRE,2122,2194,430879
2020-09-30,MUJER,2268,2300,400599
2020-10-01,HOMBRE,3194,2368,434073
2020-10-01,MUJER,3049,2440,403648
2020-10-02,HOMBRE,2336,2344,436409
2020-10-02,MUJER,2437,2398,406085
2020-10-03,HOMBRE,2149,2361,438558
2020-10-03,MUJER,2130,2410,408215
2020-10-04,HOMBRE,2053,2365,440611
2020-10-04,MUJER,2042,2406,410257
2020-10-05,HOMBRE,2973,2420,443584
2020-10-05,MUJER,3063,2471,413320
2020-10-06,HOMBRE,2341,2452,445925
2020-10-06,MUJER,2348,2476,415668
2020-10-07,HOMBRE,2321,2481,448246
2020-10-07,MUJER,2592,2523,418260
2020-10-08,HOMBRE,2421,2370,450667
2020-10-08,MUJER,2533,2449,420793
2020-10-09,HOMBRE,2576,2404,453243
2020-10-09,MUJER,2699,2486,423492
2020-10-10,HOMBRE,3610,2613,456853
2020-10-10,MUJER,3815,2727,427307
2020-10-11,HOMBRE,2318,2651,459171
2020-10-11,MUJER,2449,2785,429756
2020-10-12,HOMBRE,3207,2684,462378
2020-10-12,MUJER,3449,2840,433205
